,Region,Asalariados,Percepciones por persona,Salarios,Salario Medio Anual,year,smi
882,Total,1073420,1.15,31225884294,29090,2011,3-3.5
883,Andalucía,161062,1.17,4687428642,29103,2011,3-3.5
884,Aragón,41631,1.16,1209000040,29041,2011,3-3.5
885,Principado de Asturias,27978,1.18,813550919,29078,2011,3-3.5
886,Illes Balears,22985,1.16,669268273,29118,2011,3-3.5
887,Canarias,37420,1.15,1088976454,29101,2011,3-3.5
888,Cantabria,15365,1.14,447339690,29114,2011,3-3.5
889,Castilla - La Mancha,43691,1.17,1271346585,29099,2011,3-3.5
890,Castilla y León,64922,1.17,1889791751,29109,2011,3-3.5
891,Cataluña,224451,1.13,6524346513,29068,2011,3-3.5
892,Extremadura,20103,1.19,584483119,29074,2011,3-3.5
893,Galicia,60667,1.16,1763361287,29066,2011,3-3.5
894,Comunidad de Madrid,206334,1.14,6006016446,29108,2011,3-3.5
895,Región de Murcia,28439,1.13,828811051,29143,2011,3-3.5
896,La Rioja,8626,1.13,250893722,29086,2011,3-3.5
897,Comunidad Valenciana,106073,1.14,3084146356,29076,2011,3-3.5
898,Ciudad de Ceuta,2029,1.21,59197206,29176,2011,3-3.5
899,Ciudad de Melilla,1644,1.21,47926241,29152,2011,3-3.5
900,Total,807270,1.13,27099401835,33569,2011,3.5-4
901,Andalucía,123989,1.13,4159570549,33548,2011,3.5-4
902,Aragón,28529,1.15,955869410,33505,2011,3.5-4
903,Principado de Asturias,20820,1.13,698399557,33545,2011,3.5-4
904,Illes Balears,18915,1.15,634976187,33570,2011,3.5-4
905,Canarias,33951,1.12,1141982869,33636,2011,3.5-4
906,Cantabria,11461,1.11,384847749,33579,2011,3.5-4
907,Castilla - La Mancha,34827,1.13,1167681342,33528,2011,3.5-4
908,Castilla y León,46310,1.15,1552469409,33524,2011,3.5-4
909,Cataluña,168236,1.13,5655749804,33618,2011,3.5-4
910,Extremadura,14356,1.16,481251722,33523,2011,3.5-4
911,Galicia,42067,1.15,1409731154,33511,2011,3.5-4
912,Comunidad de Madrid,154968,1.14,5205319906,33590,2011,3.5-4
913,Región de Murcia,22095,1.12,742437784,33602,2011,3.5-4
914,La Rioja,6013,1.14,201896938,33577,2011,3.5-4
915,Comunidad Valenciana,77118,1.13,2585035095,33520,2011,3.5-4
916,Ciudad de Ceuta,1879,1.18,63446310,33766,2011,3.5-4
917,Ciudad de Melilla,1735,1.17,58736049,33854,2011,3.5-4
918,Total,630111,1.12,23974907131,38049,2011,4-4.5
919,Andalucía,93391,1.12,3555299196,38069,2011,4-4.5
920,Aragón,20111,1.13,765010119,38039,2011,4-4.5
921,Principado de Asturias,16661,1.1,635082452,38118,2011,4-4.5
922,Illes Balears,13310,1.15,506089395,38023,2011,4-4.5
923,Canarias,22306,1.13,845452798,37902,2011,4-4.5
924,Cantabria,9754,1.09,371008415,38037,2011,4-4.5
925,Castilla - La Mancha,24293,1.13,923976208,38035,2011,4-4.5
926,Castilla y León,37867,1.12,1440534385,38042,2011,4-4.5
927,Cataluña,131545,1.12,5002528423,38029,2011,4-4.5
928,Extremadura,10132,1.16,385383123,38036,2011,4-4.5
929,Galicia,34137,1.12,1299478510,38067,2011,4-4.5
930,Comunidad de Madrid,131567,1.13,5006413656,38052,2011,4-4.5
931,Región de Murcia,16738,1.11,637508584,38087,2011,4-4.5
932,La Rioja,4668,1.11,177898353,38110,2011,4-4.5
933,Comunidad Valenciana,59821,1.12,2278013875,38080,2011,4-4.5
934,Ciudad de Ceuta,2025,1.15,77255147,38150,2011,4-4.5
935,Ciudad de Melilla,1784,1.17,67974491,38102,2011,4-4.5
936,Total,418734,1.14,17779430153,42460,2011,4.5-5
937,Andalucía,60274,1.13,2556706850,42418,2011,4.5-5
938,Aragón,13733,1.14,583356779,42478,2011,4.5-5
939,Principado de Asturias,11801,1.1,500805065,42437,2011,4.5-5
940,Illes Balears,8777,1.16,373189286,42519,2011,4.5-5
941,Canarias,13693,1.16,581234223,42448,2011,4.5-5
942,Cantabria,6578,1.1,278623354,42357,2011,4.5-5
943,Castilla - La Mancha,16098,1.14,682344027,42387,2011,4.5-5
944,Castilla y León,21934,1.17,930561539,42426,2011,4.5-5
945,Cataluña,89588,1.13,3804739428,42469,2011,4.5-5
946,Extremadura,5937,1.19,251785930,42409,2011,4.5-5
947,Galicia,21187,1.14,898496896,42408,2011,4.5-5
948,Comunidad de Madrid,94498,1.14,4018328634,42523,2011,4.5-5
949,Región de Murcia,10573,1.13,449099156,42476,2011,4.5-5
950,La Rioja,3189,1.13,135144073,42378,2011,4.5-5
951,Comunidad Valenciana,38174,1.15,1620189715,42442,2011,4.5-5
952,Ciudad de Ceuta,1359,1.16,57790724,42525,2011,4.5-5
953,Ciudad de Melilla,1341,1.14,57034474,42531,2011,4.5-5
954,Total,803065,1.17,42974133660,53513,2011,5-7.5
955,Andalucía,103593,1.17,5516662592,53253,2011,5-7.5
956,Aragón,25847,1.18,1385869431,53618,2011,5-7.5
957,Principado de Asturias,19501,1.14,1041008910,53382,2011,5-7.5
958,Illes Balears,16550,1.21,884637171,53452,2011,5-7.5
959,Canarias,25611,1.19,1375914773,53723,2011,5-7.5
960,Cantabria,10778,1.15,577189214,53553,2011,5-7.5
961,Castilla - La Mancha,26809,1.19,1420760023,52996,2011,5-7.5
962,Castilla y León,40442,1.2,2155778081,53305,2011,5-7.5
963,Cataluña,173950,1.17,9306493439,53501,2011,5-7.5
964,Extremadura,10277,1.21,549262552,53446,2011,5-7.5
965,Galicia,37337,1.19,1991987607,53352,2011,5-7.5
966,Comunidad de Madrid,216478,1.16,11660944377,53867,2011,5-7.5
967,Región de Murcia,18093,1.17,958722427,52989,2011,5-7.5
968,La Rioja,5385,1.17,287560706,53400,2011,5-7.5
969,Comunidad Valenciana,68065,1.2,3633272299,53379,2011,5-7.5
970,Ciudad de Ceuta,2386,1.21,125260955,52498,2011,5-7.5
971,Ciudad de Melilla,1963,1.18,102809104,52373,2011,5-7.5
972,Total,225378,1.22,17218400657,76398,2011,7.5-10
973,Andalucía,26273,1.21,1999367677,76100,2011,7.5-10
974,Aragón,6938,1.22,528324876,76149,2011,7.5-10
975,Principado de Asturias,4932,1.17,374284485,75889,2011,7.5-10
976,Illes Balears,4654,1.27,355806163,76452,2011,7.5-10
977,Canarias,6620,1.28,504004468,76136,2011,7.5-10
978,Cantabria,2781,1.21,211646198,76104,2011,7.5-10
979,Castilla - La Mancha,6346,1.23,486633721,76684,2011,7.5-10
980,Castilla y León,10487,1.25,799563652,76244,2011,7.5-10
981,Cataluña,50653,1.26,3878964500,76579,2011,7.5-10
982,Extremadura,2934,1.21,222997329,76005,2011,7.5-10
983,Galicia,9816,1.22,746986848,76099,2011,7.5-10
984,Comunidad de Madrid,66332,1.18,5077866219,76553,2011,7.5-10
985,Región de Murcia,4936,1.21,377441482,76467,2011,7.5-10
986,La Rioja,1359,1.22,103250599,75975,2011,7.5-10
987,Comunidad Valenciana,19549,1.27,1492956933,76370,2011,7.5-10
988,Ciudad de Ceuta,428,1.29,32442186,75800,2011,7.5-10
989,Ciudad de Melilla,341,1.19,25863323,75846,2011,7.5-10
990,Total,149053,1.24,21462859328,143995,2011,>10
991,Andalucía,10998,1.26,1442039057,131118,2011,>10
992,Aragón,2935,1.27,366444296,124853,2011,>10
993,Principado de Asturias,2167,1.23,288452463,133111,2011,>10
994,Illes Balears,2845,1.29,409663167,143993,2011,>10
995,Canarias,3508,1.27,446494880,127272,2011,>10
996,Cantabria,1336,1.25,173270165,129693,2011,>10
997,Castilla - La Mancha,3356,1.23,406803340,121217,2011,>10
998,Castilla y León,4235,1.31,526670688,124361,2011,>10
999,Cataluña,37475,1.3,5200689653,138778,2011,>10
1000,Extremadura,1006,1.22,115100356,114414,2011,>10
1001,Galicia,5072,1.25,702554145,138516,2011,>10
1002,Comunidad de Madrid,60273,1.18,9527367898,158069,2011,>10
1003,Región de Murcia,2263,1.32,284953851,125919,2011,>10
1004,La Rioja,650,1.24,84806572,130472,2011,>10
1005,Comunidad Valenciana,10648,1.3,1453019462,136459,2011,>10
1006,Ciudad de Ceuta,168,1.35,21304031,126810,2011,>10
1007,Ciudad de Melilla,117,1.17,13225307,113037,2011,>10
1008,Total,17063142,1.25,317397482413,18601,2012,Total
1009,Andalucía,3105277,1.36,45832316771,14759,2012,Total
1010,Aragón,553032,1.25,10490988949,18970,2012,Total
1011,Principado de Asturias,387096,1.23,7467395684,19291,2012,Total
1012,Illes Balears,448185,1.22,7753146875,17299,2012,Total
1013,Canarias,773560,1.21,12548945907,16222,2012,Total
1014,Cantabria,227485,1.2,4336306565,19062,2012,Total
1015,Castilla - La Mancha,784480,1.27,12734983746,16234,2012,Total
1016,Castilla y León,954085,1.23,17416155465,18254,2012,Total
1017,Cataluña,3071859,1.22,64382477228,20959,2012,Total
1018,Extremadura,415133,1.36,5684152593,13692,2012,Total
1019,Galicia,999458,1.21,17727266759,17737,2012,Total
1020,Comunidad de Madrid,2774194,1.2,67992562547,24509,2012,Total
1021,Región de Murcia,551388,1.3,8682061055,15746,2012,Total
1022,La Rioja,130235,1.27,2381071378,18283,2012,Total
1023,Comunidad Valenciana,1832700,1.23,30768269955,16788,2012,Total
1024,Ciudad de Ceuta,28324,1.18,632244352,22322,2012,Total
1025,Ciudad de Melilla,26651,1.21,567136584,21280,2012,Total
1026,Total,3493532,1.39,6406893427,1834,2012,0-0.5
1027,Andalucía,955358,1.56,1663638113,1741,2012,0-0.5
1028,Aragón,93088,1.36,176770304,1899,2012,0-0.5
1029,Principado de Asturias,66649,1.3,122186617,1833,2012,0-0.5
1030,Illes Balears,78247,1.27,153779787,1965,2012,0-0.5
1031,Canarias,159567,1.26,303373237,1901,2012,0-0.5
1032,Cantabria,37866,1.27,73562115,1943,2012,0-0.5
1033,Castilla - La Mancha,181956,1.4,315585243,1734,2012,0-0.5
1034,Castilla y León,167799,1.31,301602477,1797,2012,0-0.5
1035,Cataluña,503143,1.3,954918122,1898,2012,0-0.5
1036,Extremadura,131133,1.59,237494076,1811,2012,0-0.5
1037,Galicia,172566,1.28,328020668,1901,2012,0-0.5
1038,Comunidad de Madrid,379591,1.3,719645788,1896,2012,0-0.5
1039,Región de Murcia,128210,1.44,239419960,1867,2012,0-0.5
1040,La Rioja,24211,1.46,43040010,1778,2012,0-0.5
1041,Comunidad Valenciana,404746,1.31,756352425,1869,2012,0-0.5
1042,Ciudad de Ceuta,4642,1.19,7944357,1711,2012,0-0.5
1043,Ciudad de Melilla,4760,1.21,9560130,2008,2012,0-0.5
1044,Total,2121607,1.46,14203195822,6695,2012,0.5-1
1045,Andalucía,431492,1.56,2863799536,6637,2012,0.5-1
1046,Aragón,65080,1.49,434882037,6682,2012,0.5-1
1047,Principado de Asturias,45431,1.38,305586696,6726,2012,0.5-1
1048,Illes Balears,66427,1.37,453997542,6835,2012,0.5-1
1049,Canarias,111694,1.4,745875968,6678,2012,0.5-1
1050,Cantabria,27338,1.38,183692332,6719,2012,0.5-1
1051,Castilla - La Mancha,96887,1.49,651147360,6721,2012,0.5-1
1052,Castilla y León,109927,1.43,737315113,6707,2012,0.5-1
1053,Cataluña,349082,1.43,2344304782,6716,2012,0.5-1
1054,Extremadura,56888,1.58,375130849,6594,2012,0.5-1
1055,Galicia,122814,1.37,828810623,6748,2012,0.5-1
1056,Comunidad de Madrid,273533,1.42,1840223445,6728,2012,0.5-1
1057,Región de Murcia,86630,1.56,579389709,6688,2012,0.5-1
1058,La Rioja,14647,1.52,99014306,6760,2012,0.5-1
1059,Comunidad Valenciana,257878,1.43,1721903278,6677,2012,0.5-1
1060,Ciudad de Ceuta,2926,1.29,19076898,6520,2012,0.5-1
1061,Ciudad de Melilla,2932,1.34,19045349,6496,2012,0.5-1
1062,Total,2050865,1.31,23127792467,11277,2012,1-1.5
1063,Andalucía,354623,1.33,3979564235,11222,2012,1-1.5
1064,Aragón,62872,1.35,709582557,11286,2012,1-1.5
1065,Principado de Asturias,46878,1.29,531705685,11342,2012,1-1.5
1066,Illes Balears,71395,1.29,793202967,11110,2012,1-1.5
1067,Canarias,120012,1.27,1358473729,11319,2012,1-1.5
1068,Cantabria,28086,1.27,315940124,11249,2012,1-1.5
1069,Castilla - La Mancha,93846,1.31,1059275587,11287,2012,1-1.5
1070,Castilla y León,115257,1.31,1307139489,11341,2012,1-1.5
1071,Cataluña,343637,1.33,3867372968,11254,2012,1-1.5
1072,Extremadura,47795,1.3,541254668,11324,2012,1-1.5
1073,Galicia,136519,1.25,1552782194,11374,2012,1-1.5
1074,Comunidad de Madrid,305180,1.3,3453901144,11318,2012,1-1.5
1075,Región de Murcia,76910,1.31,866823445,11271,2012,1-1.5
1076,La Rioja,14756,1.35,166856467,11308,2012,1-1.5
1077,Comunidad Valenciana,228996,1.29,2577954371,11258,2012,1-1.5
1078,Ciudad de Ceuta,1888,1.27,21110204,11181,2012,1-1.5
1079,Ciudad de Melilla,2215,1.35,24852633,11220,2012,1-1.5
1080,Total,2416521,1.17,37991227000,15721,2012,1.5-2
1081,Andalucía,371593,1.17,5836949251,15708,2012,1.5-2
1082,Aragón,83123,1.19,1311821223,15782,2012,1.5-2
1083,Principado de Asturias,54110,1.2,851565294,15738,2012,1.5-2
1084,Illes Balears,69531,1.18,1088985029,15662,2012,1.5-2
1085,Canarias,120280,1.16,1886631695,15685,2012,1.5-2
1086,Cantabria,35116,1.15,550613889,15680,2012,1.5-2
1087,Castilla - La Mancha,129529,1.16,2039126456,15743,2012,1.5-2
1088,Castilla y León,162543,1.16,2556420204,15728,2012,1.5-2
1089,Cataluña,395772,1.2,6236911006,15759,2012,1.5-2
1090,Extremadura,61223,1.14,956452809,15622,2012,1.5-2
1091,Galicia,178311,1.14,2803949118,15725,2012,1.5-2
1092,Comunidad de Madrid,384357,1.18,6033633160,15698,2012,1.5-2
1093,Región de Murcia,75405,1.17,1185994544,15728,2012,1.5-2
1094,La Rioja,20311,1.2,320169724,15763,2012,1.5-2
1095,Comunidad Valenciana,270213,1.15,4250833771,15731,2012,1.5-2
1096,Ciudad de Ceuta,2727,1.2,43708856,16028,2012,1.5-2
1097,Ciudad de Melilla,2377,1.25,37460971,15760,2012,1.5-2
1098,Total,1896323,1.13,38001934465,20040,2012,2-2.5
1099,Andalucía,278293,1.13,5564840926,19996,2012,2-2.5
1100,Aragón,71653,1.14,1440272722,20101,2012,2-2.5
1101,Principado de Asturias,46918,1.19,942168520,20081,2012,2-2.5
1102,Illes Balears,51764,1.13,1034713792,19989,2012,2-2.5
1103,Canarias,81708,1.11,1631096326,19963,2012,2-2.5
1104,Cantabria,27900,1.13,557570577,19985,2012,2-2.5
1105,Castilla - La Mancha,88659,1.14,1773588397,20005,2012,2-2.5
1106,Castilla y León,117703,1.13,2356427779,20020,2012,2-2.5
1107,Cataluña,380169,1.14,7645795162,20112,2012,2-2.5
1108,Extremadura,37670,1.12,752765680,19983,2012,2-2.5
1109,Galicia,124211,1.12,2480016660,19966,2012,2-2.5
1110,Comunidad de Madrid,315454,1.14,6334650107,20081,2012,2-2.5
1111,Región de Murcia,54367,1.13,1085823455,19972,2012,2-2.5
1112,La Rioja,17903,1.14,358937904,20049,2012,2-2.5
1113,Comunidad Valenciana,194079,1.11,3883571909,20010,2012,2-2.5
1114,Ciudad de Ceuta,4001,1.12,81118608,20275,2012,2-2.5
1115,Ciudad de Melilla,3871,1.16,78575941,20299,2012,2-2.5
1116,Total,1343873,1.14,33073241231,24610,2012,2.5-3
1117,Andalucía,198882,1.18,4899557449,24636,2012,2.5-3
1118,Aragón,54156,1.13,1332089231,24597,2012,2.5-3
1119,Principado de Asturias,34246,1.21,843232404,24623,2012,2.5-3
1120,Illes Balears,30284,1.13,742401283,24515,2012,2.5-3
1121,Canarias,50011,1.1,1226400564,24523,2012,2.5-3
1122,Cantabria,18433,1.13,453471501,24601,2012,2.5-3
1123,Castilla - La Mancha,58543,1.15,1438873369,24578,2012,2.5-3
1124,Castilla y León,77973,1.15,1921231641,24640,2012,2.5-3
1125,Cataluña,287339,1.12,7069130857,24602,2012,2.5-3
1126,Extremadura,24695,1.17,609406845,24677,2012,2.5-3
1127,Galicia,76111,1.17,1875850375,24646,2012,2.5-3
1128,Comunidad de Madrid,241304,1.13,5945750421,24640,2012,2.5-3
1129,Región de Murcia,36614,1.13,898843833,24549,2012,2.5-3
1130,La Rioja,11286,1.12,276984969,24542,2012,2.5-3
1131,Comunidad Valenciana,139604,1.1,3432119915,24585,2012,2.5-3
1132,Ciudad de Ceuta,2425,1.19,59548845,24556,2012,2.5-3
1133,Ciudad de Melilla,1966,1.22,48347729,24592,2012,2.5-3
1134,Total,1017100,1.13,29571150518,29074,2012,3-3.5
1135,Andalucía,153354,1.17,4461270199,29091,2012,3-3.5
1136,Aragón,37564,1.14,1091150380,29048,2012,3-3.5
1137,Principado de Asturias,25304,1.18,736158268,29092,2012,3-3.5
1138,Illes Balears,23021,1.11,670046888,29106,2012,3-3.5
1139,Canarias,38328,1.1,1118536767,29183,2012,3-3.5
1140,Cantabria,14304,1.11,415383781,29040,2012,3-3.5
1141,Castilla - La Mancha,41083,1.14,1194820993,29083,2012,3-3.5
1142,Castilla y León,61890,1.14,1797350103,29041,2012,3-3.5
1143,Cataluña,212707,1.11,6184873680,29077,2012,3-3.5
1144,Extremadura,18297,1.15,530912701,29016,2012,3-3.5
1145,Galicia,56876,1.17,1652046085,29047,2012,3-3.5
1146,Comunidad de Madrid,195151,1.11,5672152103,29065,2012,3-3.5
1147,Región de Murcia,26803,1.12,780001076,29101,2012,3-3.5
1148,La Rioja,8154,1.12,236292663,28979,2012,3-3.5
1149,Comunidad Valenciana,100471,1.11,2919756699,29061,2012,3-3.5
1150,Ciudad de Ceuta,2063,1.15,60074946,29120,2012,3-3.5
1151,Ciudad de Melilla,1730,1.15,50323186,29088,2012,3-3.5
1152,Total,767594,1.11,25768472904,33570,2012,3.5-4
1153,Andalucía,112207,1.11,3763576217,33541,2012,3.5-4
1154,Aragón,25042,1.12,840337645,33557,2012,3.5-4
1155,Principado de Asturias,19145,1.12,644297645,33654,2012,3.5-4
1156,Illes Balears,17319,1.11,580335945,33509,2012,3.5-4
1157,Canarias,31328,1.07,1049766485,33509,2012,3.5-4
1158,Cantabria,11296,1.08,379904701,33632,2012,3.5-4
1159,Castilla - La Mancha,30011,1.11,1006565595,33540,2012,3.5-4
1160,Castilla y León,44318,1.12,1489441839,33608,2012,3.5-4
1161,Cataluña,165655,1.11,5559274627,33559,2012,3.5-4
1162,Extremadura,12535,1.14,420028556,33508,2012,3.5-4
1163,Galicia,39412,1.12,1323022094,33569,2012,3.5-4
1164,Comunidad de Madrid,153454,1.11,5158568096,33616,2012,3.5-4
1165,Región de Murcia,20363,1.11,683613282,33571,2012,3.5-4
1166,La Rioja,5544,1.1,186245270,33594,2012,3.5-4
1167,Comunidad Valenciana,75957,1.1,2548110967,33547,2012,3.5-4
1168,Ciudad de Ceuta,2102,1.14,71017538,33786,2012,3.5-4
1169,Ciudad de Melilla,1906,1.17,64366401,33770,2012,3.5-4
1170,Total,552724,1.11,20995551337,37986,2012,4-4.5
1171,Andalucía,81807,1.1,3103738395,37940,2012,4-4.5
1172,Aragón,17764,1.12,674374682,37963,2012,4-4.5
1173,Principado de Asturias,15375,1.09,584291717,38002,2012,4-4.5
1174,Illes Balears,11788,1.11,447847345,37992,2012,4-4.5
1175,Canarias,18338,1.08,697305858,38025,2012,4-4.5
1176,Cantabria,8766,1.07,333581091,38054,2012,4-4.5
1177,Castilla - La Mancha,20739,1.1,787065666,37951,2012,4-4.5
1178,Castilla y León,30657,1.12,1163159826,37941,2012,4-4.5
1179,Cataluña,120277,1.11,4571950680,38012,2012,4-4.5
1180,Extremadura,8321,1.14,315057106,37863,2012,4-4.5
1181,Galicia,29593,1.11,1122590444,37934,2012,4-4.5
1182,Comunidad de Madrid,119375,1.1,4541447040,38043,2012,4-4.5
1183,Región de Murcia,14825,1.1,562957273,37973,2012,4-4.5
1184,La Rioja,4163,1.09,158228333,38008,2012,4-4.5
1185,Comunidad Valenciana,47321,1.12,1794722481,37927,2012,4-4.5
1186,Ciudad de Ceuta,1897,1.11,72030993,37971,2012,4-4.5
1187,Ciudad de Melilla,1717,1.14,65202407,37975,2012,4-4.5
1188,Total,342485,1.12,14549802446,42483,2012,4.5-5
1189,Andalucía,45750,1.13,1942367542,42456,2012,4.5-5
1190,Aragón,11182,1.14,474494502,42434,2012,4.5-5
1191,Principado de Asturias,9557,1.1,405371247,42416,2012,4.5-5
1192,Illes Balears,6999,1.13,297066592,42444,2012,4.5-5
1193,Canarias,10433,1.12,442771100,42439,2012,4.5-5
1194,Cantabria,5073,1.09,215387659,42458,2012,4.5-5
1195,Castilla - La Mancha,12466,1.13,529257342,42456,2012,4.5-5
1196,Castilla y León,17423,1.15,740639046,42509,2012,4.5-5
1197,Cataluña,75347,1.11,3202098446,42498,2012,4.5-5
1198,Extremadura,4351,1.16,184826389,42479,2012,4.5-5
1199,Galicia,16310,1.15,692621436,42466,2012,4.5-5
1200,Comunidad de Madrid,85515,1.11,3634773478,42504,2012,4.5-5
1201,Región de Murcia,8918,1.12,378737672,42470,2012,4.5-5
1202,La Rioja,2519,1.11,107014419,42483,2012,4.5-5
1203,Comunidad Valenciana,28264,1.15,1201395042,42506,2012,4.5-5
1204,Ciudad de Ceuta,1217,1.11,51700650,42482,2012,4.5-5
1205,Ciudad de Melilla,1162,1.1,49279885,42410,2012,4.5-5
1206,Total,726573,1.14,38942165952,53597,2012,5-7.5
1207,Andalucía,90454,1.16,4829481531,53392,2012,5-7.5
1208,Aragón,23051,1.15,1237773701,53697,2012,5-7.5
1209,Principado de Asturias,17336,1.13,928291062,53547,2012,5-7.5
1210,Illes Balears,14685,1.14,787986596,53659,2012,5-7.5
1211,Canarias,23256,1.13,1248735925,53695,2012,5-7.5
1212,Cantabria,9729,1.12,520749519,53526,2012,5-7.5
1213,Castilla - La Mancha,22446,1.16,1196465814,53304,2012,5-7.5
1214,Castilla y León,36536,1.16,1952668889,53445,2012,5-7.5
1215,Cataluña,158613,1.14,8489719154,53525,2012,5-7.5
1216,Extremadura,9033,1.15,484804020,53670,2012,5-7.5
1217,Galicia,33871,1.18,1815235965,53593,2012,5-7.5
1218,Comunidad de Madrid,203294,1.12,10943452130,53831,2012,5-7.5
1219,Región de Murcia,16236,1.14,864947201,53273,2012,5-7.5
1220,La Rioja,4998,1.13,266730114,53367,2012,5-7.5
1221,Comunidad Valenciana,59481,1.16,3188556309,53606,2012,5-7.5
1222,Ciudad de Ceuta,1942,1.2,101761581,52400,2012,5-7.5
1223,Ciudad de Melilla,1611,1.17,84806440,52642,2012,5-7.5
1224,Total,201341,1.17,15364494787,76311,2012,7.5-10
1225,Andalucía,22503,1.18,1704166170,75731,2012,7.5-10
1226,Aragón,6013,1.19,455865638,75814,2012,7.5-10
1227,Principado de Asturias,4202,1.15,319387254,76008,2012,7.5-10
1228,Illes Balears,4030,1.17,307476006,76297,2012,7.5-10
1229,Canarias,5725,1.17,435785584,76120,2012,7.5-10
1230,Cantabria,2412,1.18,183203501,75955,2012,7.5-10
1231,Castilla - La Mancha,5951,1.17,454410786,76359,2012,7.5-10
1232,Castilla y León,8707,1.2,658762548,75659,2012,7.5-10
1233,Cataluña,46098,1.18,3529113219,76557,2012,7.5-10
1234,Extremadura,2362,1.17,178907000,75744,2012,7.5-10
1235,Galicia,8551,1.19,649155427,75916,2012,7.5-10
1236,Comunidad de Madrid,62059,1.15,4757789238,76666,2012,7.5-10
1237,Región de Murcia,4267,1.17,324519456,76053,2012,7.5-10
1238,La Rioja,1179,1.2,89524513,75933,2012,7.5-10
1239,Comunidad Valenciana,16634,1.2,1267486649,76198,2012,7.5-10
1240,Ciudad de Ceuta,359,1.21,27036430,75310,2012,7.5-10
1241,Ciudad de Melilla,289,1.18,21905367,75797,2012,7.5-10
1242,Total,132604,1.19,19401560057,146312,2012,>10
1243,Andalucía,8961,1.22,1219367207,136075,2012,>10
1244,Aragón,2444,1.22,311574326,127485,2012,>10
1245,Principado de Asturias,1945,1.21,253153275,130156,2012,>10
1246,Illes Balears,2695,1.21,395307103,146682,2012,>10
1247,Canarias,2880,1.19,404192669,140345,2012,>10
1248,Cantabria,1166,1.21,153245775,131429,2012,>10
1249,Castilla - La Mancha,2364,1.2,288801137,122166,2012,>10
1250,Castilla y León,3351,1.24,433996509,129513,2012,>10
1251,Cataluña,34019,1.22,4727014525,138953,2012,>10
1252,Extremadura,830,1.17,97111897,117002,2012,>10
1253,Galicia,4313,1.23,603165670,139848,2012,>10
1254,Comunidad de Madrid,55925,1.15,8956576398,160153,2012,>10
1255,Región de Murcia,1841,1.29,230990149,125470,2012,>10
1256,La Rioja,564,1.22,72032686,127718,2012,>10
1257,Comunidad Valenciana,9056,1.25,1225506139,135326,2012,>10
1258,Ciudad de Ceuta,135,1.27,16114446,119366,2012,>10
1259,Ciudad de Melilla,115,1.14,13410145,116610,2012,>10
1260,Total,16682061,1.26,308695720646,18505,2013,Total
1261,Andalucía,3073920,1.37,44490307919,14473,2013,Total
1262,Aragón,538338,1.26,10180286716,18911,2013,Total
1263,Principado de Asturias,369933,1.21,7172838349,19390,2013,Total
1264,Illes Balears,445699,1.24,7710954299,17301,2013,Total
1265,Canarias,764219,1.23,12348047672,16158,2013,Total
1266,Cantabria,219878,1.21,4165213598,18943,2013,Total
1267,Castilla - La Mancha,764584,1.29,12326906082,16122,2013,Total
1268,Castilla y León,921549,1.23,16814715543,18246,2013,Total
1269,Cataluña,3000187,1.23,62421912331,20806,2013,Total
1270,Extremadura,408743,1.4,5569716917,13626,2013,Total
1271,Galicia,969036,1.21,17220244644,17770,2013,Total
1272,Comunidad de Madrid,2692926,1.21,66168376558,24571,2013,Total
1273,Región de Murcia,540570,1.31,8500792068,15726,2013,Total
1274,La Rioja,126634,1.29,2315981012,18289,2013,Total
1275,Comunidad Valenciana,1789364,1.25,30060422333,16800,2013,Total
1276,Ciudad de Ceuta,28858,1.23,645279170,22360,2013,Total
1277,Ciudad de Melilla,27623,1.21,583725433,21132,2013,Total
1278,Total,3642236,1.42,6586044424,1808,2013,0-0.5
1279,Andalucía,1005659,1.59,1726338757,1717,2013,0-0.5
1280,Aragón,96694,1.39,181077331,1873,2013,0-0.5
1281,Principado de Asturias,68206,1.29,123449811,1810,2013,0-0.5
1282,Illes Balears,80271,1.3,156349877,1948,2013,0-0.5
1283,Canarias,168255,1.3,316051862,1878,2013,0-0.5
1284,Cantabria,40160,1.3,77144849,1921,2013,0-0.5
1285,Castilla - La Mancha,190810,1.46,326377603,1710,2013,0-0.5
1286,Castilla y León,175543,1.32,315920441,1800,2013,0-0.5
1287,Cataluña,524110,1.32,983556425,1877,2013,0-0.5
1288,Extremadura,138530,1.66,244244665,1763,2013,0-0.5
1289,Galicia,177395,1.3,332124356,1872,2013,0-0.5
1290,Comunidad de Madrid,396060,1.32,736786885,1860,2013,0-0.5
1291,Región de Murcia,130798,1.46,240982214,1842,2013,0-0.5
1292,La Rioja,24885,1.51,43182210,1735,2013,0-0.5
1293,Comunidad Valenciana,414367,1.34,763749129,1843,2013,0-0.5
1294,Ciudad de Ceuta,5130,1.22,9737495,1898,2013,0-0.5
1295,Ciudad de Melilla,5363,1.22,8970513,1673,2013,0-0.5
1296,Total,2109804,1.5,14216238189,6738,2013,0.5-1
1297,Andalucía,434067,1.61,2898467662,6677,2013,0.5-1
1298,Aragón,65124,1.53,438114709,6727,2013,0.5-1
1299,Principado de Asturias,44108,1.38,298941540,6777,2013,0.5-1
1300,Illes Balears,67283,1.4,463289819,6886,2013,0.5-1
1301,Canarias,110818,1.43,745238297,6725,2013,0.5-1
1302,Cantabria,27069,1.39,181944699,6722,2013,0.5-1
